EarthquakeNo,AreaDesc,CountyName,StationName,StationID,SeismicIntensity,EpicenterDistance,EWComponent_pga,NSComponent_pga,VComponent_pga,EWComponent_pgv,NSComponent_pgv,VComponent_pgv,WaveImageURI
114130,高雄市地區,高雄市,高雄市,D106,2級,41.37,4.15,3.79,2.08,0.1,0.12,0.05,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/2-D106.gif
114130,高雄市地區,高雄市,壽山,WSS,1級,35.76,1.78,1.21,1.08,0.07,0.04,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-WSS.gif
114130,高雄市地區,高雄市,路竹,D009,1級,38.65,1.31,1.14,0.62,0.03,0.03,0.01,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-D009.gif
114130,高雄市地區,高雄市,楠梓,KAUH,1級,39.93,0.83,0.69,0.84,0.03,0.02,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-KAUH.gif
114130,臺南市地區,臺南市,臺南市,TAI,1級,41.93,1.45,1.64,1.63,0.03,0.03,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-TAI.gif
114130,臺南市地區,臺南市,永康,TAI1,1級,47.8,1.61,1.65,0.66,0.06,0.08,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-TAI1.gif
114130,臺南市地區,臺南市,新化,SHH,1級,54.96,1.9,1.77,1.04,0.07,0.04,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-SHH.gif
114130,臺南市地區,臺南市,佳里,SCL,1級,58.03,0.79,0.88,0.77,0.04,0.03,0.01,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-SCL.gif
114130,臺南市地區,臺南市,善化,SSH,1級,59.5,1.01,1.21,1.27,0.04,0.04,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-SSH.gif
114130,嘉義縣地區,嘉義縣,番路,WCKO,1級,106.03,,,,,,,
114130,屏東縣地區,屏東縣,小琉球,WLCH,1級,62.13,1.03,0.63,0.43,0.04,0.02,0.01,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025130/1-WLCH.gif
114129,南投縣地區,南投縣,國姓,WCS,3級,4.59,4.06,11.54,4.13,0.12,0.26,0.04,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/3-WCS.gif
114129,南投縣地區,南投縣,奧萬大,OWD,2級,32.86,1.81,3.01,2.87,0.03,0.05,0.05,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/2-OWD.gif
114129,南投縣地區,南投縣,埔里,WPL,1級,11.24,1.68,1.38,1.53,0.03,0.02,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-WPL.gif
114129,南投縣地區,南投縣,魚池,TYC,1級,20.96,0.96,0.89,0.64,0.03,0.03,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-TYC.gif
114129,南投縣地區,南投縣,日月潭,SML,1級,23.56,1.33,1.16,0.83,0.05,0.04,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-SML.gif
114129,南投縣地區,南投縣,竹山,WJS,1級,34.32,0.69,0.79,0.35,0.02,0.03,0.01,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-WJS.gif
114129,南投縣地區,南投縣,合歡山,WHF,1級,39.25,1.34,0.88,0.33,0.05,0.03,0.01,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-WHF.gif
114129,南投縣地區,南投縣,信義鄉,WHY,1級,44.2,0.85,1.03,0.38,0.03,0.03,0.01,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-WHY.gif
114129,彰化縣地區,彰化縣,彰化市,WCHH,2級,33.79,7.3,4.96,2.49,0.1,0.09,0.05,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/2-WCHH.gif
114129,彰化縣地區,彰化縣,員林,WYL,1級,34.83,2.66,2.59,1.48,0.07,0.07,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-WYL.gif
114129,彰化縣地區,彰化縣,鹿港,B112,1級,46.96,2.47,1.56,1.6,0.06,0.03,0.02,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-B112.gif
114129,彰化縣地區,彰化縣,大城,WTC,1級,66.34,1.2,1.33,0.7,0.02,0.02,0.03,https://scweb.cwa.gov.tw/webdata/drawTrace/outcome/2025/2025129/1-WTC.gif
